1,Новиков Богдан
2,Черноножкин Василий
3,Лапыгин Антон
4,Булатов Вадим
5,Борц Ларик
6,Зубко Дмитрий
6-8,Попов Егор
6-25,Малахов Алексей
7,Данюшевский Пётр
7,Рогозин Антон
8,Гребенщиков Леонид
9,Нащёкин Алексей
9-17,Ковалёв Александр
9-28,Телегин Антон
10,Обернихен Константин
11,Воронцов Денис
11-34,Ефремов Александр
12,Филиппов Александр
12-17,Сорокин Валентин
12-21,Клюйков Дмитрий
13,Воробьёв Петя
14,Абдулазизов Озод
15,Щербаков Григорий
16-18,Нестеренко Виталий
17-26,Овешников Андрей
17-34,Мухин Анатолий
18,Овсяников Денис
18-26,Селин Станислав
19,Мамедов Искандер
20-22,Пинчук Сергей
21-39,Шунин Иван
22,Амирханов Артём
23,Сизякин Артём
24,Смирнов Виктор
25,Иванов Алексей
26,Новикова Лилия
27,Чепрасов Дмитрий
28,Инина Марина
28-30,Рыжов Александр
29-31,Шурыгин Егор
30-32,Антонов Евгений
30-74,Павлов Алексей
31-74,Игнатов Владимир
31-74,Ларин Филипп
33-35,Литвиненко Антон
33-38,Дмитриев Павел
33-74,Леньшин Егор
34-36,Бушмакин Евгений
35-36,Яник Пётр
37,Анвартдинов Тимур
38-74,Смышляев Алексей
39-40,Ярцев Александр
39-74,Володин Антон
41,Ермолаев Алексей
42,Гришин Виктор
42-48,Смирнов Михаил
43,Привалов Денис
43-44,Николаев Денис
43-52,Гончаренко Сергей
44-45,Елисеев Борис
45,Колмаков Пётр
45-46,Андреев Максим
45-74,Сергеев Влад
46-54,Селина Анна
46-74,Семёнов Олег
47-55,Никитин Сергей
47-65,Карташёв Дмитрий
48-58,Трескунов Игорь
48-74,Куклин Андрей
49-50,Малынич Александр
50-51,Леонов Антон
50-55,Волков Кирилл
50-62,Малич Антон
50-63,Кравченко Зевс
51-53,Ратников Николай
52,Орловский Алексей
53-74,Ледовский Артур
54-56,Федин Пётр
55-59,Ельшевский Антон
56-60,Полевиков Александр
57-67,Дынников Савел
57-74,Макаров Ян
58-74,Зелянин Дмитрий
59-60,Мягги Константин
60-74,Ковшиков Тимофей
62-71,Димитров Максим
63,Пинчук Алексей
64,Максимов Владимир
65-68,Белоусов Николай
65-74,Старк Сергей
67-73,Сергеев Иван
67-74,Тихомиров Андрей
68-74,Иванов Максим
69,Шеляпин Антон
70,Гольцов Василий
71-72,Степанович Сергей
72-74,Гаврилов Андрей
74,Жигарёв Борис
